RareDropTable=true
536, 1, 1, 0
1751, 1, 1, 0
1365, 1, 1, 2
1355, 1, 1, 2
1243, 1, 1, 2
1211, 1, 1, 2
1213, 1, 1, 3
1069, 1, 1, 1
1197, 1, 1, 2
1161, 1, 1, 2
555, 75, 75, 1
561, 15, 15, 2
554, 37, 37, 2
563, 3, 3, 2
560, 5, 5, 4
199, 1, 1, 1
201, 1, 1, 1
203, 1, 1, 1
205, 1, 1, 1
207, 1, 1, 2
209, 1, 1, 2
211, 1, 1, 2
213, 1, 1, 2
215, 1, 1, 2
2485, 1, 1, 2
217, 1, 1, 3
995, 11, 900, 1
449, 1, 1, 2
365, 1, 1, 2
373, 1, 1, 2
18639, 1, 1, 1
15146, 1, 1, 1
12478, 1, 1, 3
2722, 1, 1, 3
-1, 1, 1, 1
18778, 1, 1, 4
