RareDropTable=true
532, 1, 2, 0
1309, 1, 1, 1
1207, 1, 1, 1
1424, 1, 1, 1
1281, 1, 1, 1
1283, 1, 1, 1
25716, 1, 1, 1
1217, 1, 1, 1
25698, 1, 1, 4
869, 4, 19, 1
25902, 4, 19, 1
1295, 1, 1, 1
1365, 1, 1, 1
1311, 1, 1, 1
1297, 1, 1, 1
25731, 1, 1, 1
1313, 1, 1, 2
1209, 1, 1, 2
1299, 1, 1, 2
1430, 1, 1, 2
1317, 1, 1, 3
886, 5, 5, 3
1213, 1, 1, 4
1101, 1, 1, 1
1105, 1, 1, 1
1153, 1, 1, 2
1191, 1, 1, 2
1141, 1, 1, 2
1181, 1, 1, 3
1147, 1, 1, 4
30318, 1, 1, 1
30312, 1, 1, 1
30315, 1, 1, 1
30306, 1, 1, 1
30309, 1, 1, 1
30321, 1, 1, 1
563, 2, 3, 3
560, 2, 2, 3
561, 2, 3, 3
558, 2, 3, 3
564, 2, 3, 3
555, 7, 7, 3
554, 15, 15, 3
-1, 1, 1, 1
-1, 1, 1, 1
5104, 1, 1, 3
12176, 1, 1, 3
5303, 1, 1, 3
5280, 1, 1, 3
5301, 1, 1, 3
5100, 1, 1, 3
5297, 1, 1, 4
5302, 1, 1, 4
5296, 1, 1, 4
217, 1, 1, 3
209, 1, 1, 3
211, 1, 1, 3
199, 1, 1, 3
207, 1, 1, 3
213, 1, 1, 3
203, 1, 1, 3
205, 1, 1, 3
2485, 1, 1, 3
201, 1, 1, 3
215, 1, 1, 3
1917, 1, 1, 1
995, 5, 473, 1
24909, 20, 20, 1
225, 1, 1, 1
15173, 1, 1, 1
1446, 1, 1, 2
1442, 1, 1, 2
10976, 1, 1, 3
10977, 1, 1, 3
2722, 1, 1, 3
-1, 1, 1, 1
20122, 1, 1, 1
