RareDropTable=false
526, 1, 1, 0
15595, 1, 1, 1
1422, 1, 1, 1
841, 1, 1, 1
882, 40, 40, 2
1379, 1, 1, 2
1389, 1, 1, 2
19830, 1, 1, 2
1381, 1, 1, 2
1387, 1, 1, 4
1103, 1, 1, 1
1139, 1, 1, 1
1061, 1, 1, 1
1059, 1, 1, 1
1173, 1, 1, 2
1167, 1, 1, 2
1129, 1, 1, 2
1654, 1, 1, 1
1673, 1, 1, 1
1635, 1, 1, 2
1727, 1, 1, 3
1729, 1, 1, 3
1724, 1, 1, 4
1718, 1, 1, 4
554, 8, 8, 1
558, 40, 40, 1
555, 8, 8, 1
556, 18, 18, 1
557, 8, 8, 1
1448, 1, 1, 2
1442, 1, 1, 3
1444, 1, 1, 3
1438, 1, 1, 3
1440, 1, 1, 3
436, 1, 1, 1
438, 2, 2, 1
2349, 1, 1, 1
2351, 1, 1, 2
995, 250, 500, 1
314, 15, 15, 1
313, 80, 80, 1
1734, 65, 65, 1
1741, 1, 1, 2
2801, 1, 1, 4
